ZIP Code,Type,State FIPS,Preferred name,Alternate names,Population (2019),Housing units (2019),Median family income (2019),MFI percentile (2019),Latitude,Longitude,Land area,Water area
00638,standard,72,"Ciales, PR","Qtas De Ciales, Urb Dos Rios, Urb Los Llanos, Urb Monte Rey","16,412","7,358","$18,914",0,18.296,-66.515999,66.045,0.19
00641,standard,72,"Utuado, PR","Alts De Utuado, Bda Nueva, Ext San Martin, Jard De Bubao, Sect Bella Vista, Sect Cercadillo, Sect Vendrell, Urb Cabrera, Urb Jesus M Lago, Urb Perez Matos, Urb San Martin","26,712","12,308","$19,972",0,18.263,-66.712997,93.531,1.336
00646,standard,72,"Dorado, PR","Bo Arenal, Bo Saldinera, Bosque Dorado, Chalets De Dorado, Comunidad Arenales, Comunidad Arenales Ii, Hacienda Mi Querido Viejo, Jard De Dorado, Jard Dorado, Parc El Cotto, Parc Mameyal, Parc San Antonio, Paseo Del Mar, Paseo Del Sol, Paseo Las Olas, Paseo Las Palmas, Paseo Los Corales, Paseo Los Corales Ii, Paseo Real, Qtas De Dorado, Sect La Aldea, Urb Costa De Oro, Urb Dorado Country Ests, Urb Dorado Del Mar, Urb Dorado Reef, Urb Doraville, Urb Gables Breeze, Urb Golden Hls, Urb Los Montes, Urb Los Prados Norte, Urb Los Prados Sur, Urb Martorell, Urb Miraflores, Urb Monte Bello, Urb Monte Elena, Urb Monte Mayor, Urb Monte Verde, Urb Montelindo, Urb Montereal, Urb Paisajes De Dorado, Urb Palmar Dorado Norte, Urb Sabanera Dorado, Urb Santa Barbara, Urb The Clusters, Urb The Estates, Valle Dorado, Villa Plata, Villa Santa, Villa Santa Ii","37,095","15,897","$37,357",4,18.433001,-66.286003,20.7,1.282
00647,standard,72,"Ensenada, PR",Urb Baco,"5,809","3,595","$17,659",0,17.964001,-66.946999,15.205,3.094
00650,standard,72,"Florida, PR","Alt De Florida, Est De Arroyo, Repto Seoane, Urb Altos De Florida, Urb Las Flores, Urb Vegas De Florida","14,534","6,052","$22,310",0,18.349001,-66.578003,30.522,0.215
00652,standard,72,"Garrochales, PR","Hacienda De Garrochales, Urb Los Jardines","3,565","1,673","$24,154",0,18.448,-66.594002,6.917,0.006
00653,standard,72,"Guanica, PR","Bda Esperanza, Bo La Luna, Urb Bahia, Urb Sagrado Corazon, Urb Santa Clara, Vista Mar","10,484","5,787","$15,234",0,17.985001,-66.887001,15.242,2.009
00656,standard,72,"Guayanilla, PR","Bda Guaydia, Bo Los Sitios, Ext Santa Elena 2, Ext Santa Elena 3, Urb La Concepcion, Urb Monte Claro, Urb San Augusto, Urb Santa Elena, Urb Santa Elena 2, Urb Santa Maria, Urb Stella, Villa Del Rio","18,485","8,225","$19,699",0,18.054001,-66.792999,32.415,1.682
00659,standard,72,"Hatillo, PR","Alt De Hatillo, Bda Clan, Brisas De Hatillo, Colinas De Hatillo, Est De Carrizales, Est De La Ceiba, Ext San Ramon, Ext Villa Del Carmen, Parc Santa Rosa, Sect Aviles, Urb Corales De Hatillo, Urb Costa Norte, Urb Hatillo Del Mar, Urb Las Palmas, Urb Mar Azul, Valle Verde, Villa Del Carmen","39,950","17,113","$23,679",0,18.407,-66.808998,41.781,1.173
00660,standard,72,"Hormigueros, PR","Bo Lavadero, Colinas Del Oeste, Est Del Rio, Hacienda La Monserrate, Haciendas Constancia, Parc San Romualdo, Urb Montebello, Urb Verdun, Urb Verdun Ii, Valle Hermoso, Villa Zoraida","15,943","7,649","$23,658",0,18.135,-67.115997,11.336,0
00662,standard,72,"Isabela, PR","Alt Del Mar, Bda La Mayor, Brisas Del Canal, Comunidad Capiro, Comunidad El Canon, Comunidad El Ramal, Comunidad Guanabano, Comunidad Los Pinos, Comunidad Los Ponce, Comunidad Mantilla, Comunidad Ramal, Comunidad Sonuco, Est Del Paraiso, Est Velazquez, Ext Villa Espana, Haciendas De Isabela, Jard Miramar, Mans Del Atlantico, Parc Cotto, Parc Mora Guerrero, Pradera Real, Qtas Del Atlantico, Repto Apolonio Velez Ramos, Repto Capella, Repto Duran, Repto Jerusalen, Repto Las Brisas, Repto Miraflores, Repto Monte Claro, Repto San Antonio, Repto Santa Maria, Repto Vega Badillo, Repto Villa Y Mar, Repto Yomaira, Res Lomas Del Sol, Sect Cachichuelas, Sect California, Sect Casimiro Perez, Sect La Media Cuerda, Sect La Pra, Sect Las Colinas, Sect Las Marias, Sect Las Uvas, Sect Los Toledo, Sect Pueblo Nuevo, Sect Rotarios, Sect San Antonio De La Tuna, Sect Tocones, Sect Verdum, Sect Villa Luna, Urb Costa Brava, Urb Domenech, Urb Figueroa, Urb Hau, Urb Islazul, Urb Lamela, Urb Las 3t, Urb Las Ceibas, Urb Las Flores, Urb Llanos De Isabela, Urb Manuel Corchado, Urb Medina, Urb Salvador Rios, Urb Santa Rosa, Urb Santa Teresita, Urb Sol Y Mar, Villa Acevedo, Villa Gamal, Villa Karen, Villa Lydia, Villa Mizei, Villa Pesquera, Vista Verde, Vistas Del Atlantico","39,700","19,116","$18,840",0,18.468,-67.015999,44.368,2.061
00664,standard,72,"Jayuya, PR","Alts De Borinquen, Alts De Jayuya, Jard De Jayuya, Urb Hayuya, Urb La Colina, Urb La Monserrate, Urb Vega Linda, Valle Verde","14,693","6,227","$17,403",0,18.209999,-66.592003,45.521,0.001
00667,standard,72,"Lajas, PR","Bda Nicolin Perez, Bda Tomei, Est De Lajas, Est Del Parra, Ext El Valle 2, Jard De Lajas, Parq Real, Urb El Valle, Urb Linda Vista","23,186","12,347","$16,166",0,18.003,-67.036003,60.315,10.908
00669,standard,72,"Lares, PR","Haciendas De Borinquen Ii, Urb Buena Vista","24,803","11,857","$19,540",0,18.277,-66.870003,61.552,0.065
00670,standard,72,"Las Marias, PR","Jard De Las Marias, Urb El Bosque, Urb El Coqui, Urb Lavergne","8,364","3,862","$17,861",0,18.24,-66.988998,45.57,0.138
